tahun,nama_sekolah ,kota,predikat
2015,TK. ISLAM AL IKHLAS,Jakarta Selatan,JUARA I
2015,TK. ISLAM AL IKHLAS,Jakarta Selatan,JUARA I
2015,TK GLOBAL ISLAMIC SCHOOL,Jakarta Timur,JUARA II
2015,TK GLOBAL ISLAMIC SCHOOL,Jakarta Timur,JUARA II
2015,TK AL-IKSAN,Jakarta Selatan,JUARA III
2015,TK AL-IKSAN,Jakarta Selatan,JUARA III
2015,TK SANTA THERESIA,Jakarta Pusat,JUARA IV
2015,TK NOTRE DAME,Jakarta Barat,JUARA V
2015,SD NEGERI KELAPA DUA WETAN 01 PAGI,Jakarta Timur,JUARA I
2015,SD NEGERI KELAPA DUA WETAN 01 PAGI,Jakarta Timur,JUARA I
2015,SD NEGERI MENTENG 02,Jakarta Pusat,JUARA II
2015,SD NEGERI MENTENG 02,Jakarta Pusat,JUARA II
2015,SD NEGERI KEBAYORAN LAMA SELATAN 11 PAGI,Jakarta Selatan,
2015,SD NEGERI KEBAYORAN LAMA SELATAN 11 PAGI,Jakarta Selatan,
2015,SD NEGERI JELAMBAR 01 PAGI,Jakarta barat,JUARA IV
2015,SD NEGERI PANGGANG 02 PAGI,Jakarta Selatan,JUARA V
2015,SMP NEGERI 28,Jakarta Pusat,JUARA I
2015,SMP NEGERI 28,Jakarta Pusat,JUARA I
2015,SMP NEGERI 161,Jakarta Selatan,JUARA II
2015,SMP NEGERI 161,Jakarta Selatan,JUARA II
2015,SMP NEGERI 49,Jakarta Timur,JUARA III
2015,SMP NEGERI 49,Jakarta Timur,JUARA III
2015,SMP NEGERI 249,Jakarta Barat,JUARA IV
2015,SMP NEGERI 133,Jakarta Selatan,JUARA V
2015,SMK NEGERI 28,Jakarta Selatan,JUARA I
2015,SMK NEGERI 28,Jakarta Selatan,JUARA I
2015,SMK NEGERI 19,Jakarta Pusat,JUARA II
2015,SMK NEGERI 19,Jakarta Pusat,JUARA II
2015,SMA NEGERI 36,Jakarta Timur,JUARA III
2015,SMA NEGERI 36,Jakarta Timur,JUARA III
2015,SMA NEGERI 65,Jakarta Barat,JUARA IV
2015,SMA NEGERI 45,Jakarta Selatan,JUARA V
